"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cameroon","CMR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6826993081","","","","","","","","","","42.29229819473","","","","","","","","","","","","","","","50.2840323969","","","","","","","",
"Congo, Dem. Rep.","COD","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.683458013339","","","","","","","","","","2.915994210044","","","","","","","","","","","","","","","2.761920167008","","","","","","","",
"Congo, Rep.","COG","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.514429185753","","","","","","","","","","6.156031739176","","","","","","","","","","","","","","","7.22136494899","","","","","","","",
"Colombia","COL","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.3236703999","","","","","","","","","","117.3338690308","","","","","","","","","","","","","","","130.366260552","","","","","","","",
"Comoros","COM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.41371153201","","","","","","","","","","6.10693058092","","","","","","","","","","","","","","","10.86692984449","","","","","","","",
"Cabo Verde","CPV","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9205386471","","","","","","","","","","4.15478550456","","","","","","","","","","","","","","","4.715697661046","","","","","","","",
"Costa Rica","CRI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8714676041","","","","","","","","","","19.8478887368","","","","","","","","","","","","","","","27.0027099994","","","","","","","",
"Caribbean small states","CSS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","443.732763983547","","","","","","","","","","530.95664217401","","","","","","","","","","","","","","","620.98404485731","","","","","","","",
"Cuba","CUB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.9636130104","","","","","","","","","","98.7069468588","","","","","","","","","","","","","","","104.9393829308","","","","","","","",
"Curacao","CUW","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.410272440869","","","","","","","","","","2.86603581626","","","","","","","","","","","","","","","3.71472728159","","","","","","","",
