Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Congo, Rep.",COG,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.514429186,,,,,,,,,,6.156031739,,,,,,,,,,,,,,,7.221364949,,,,,,,
Colombia,COL,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3236704,,,,,,,,,,117.333869,,,,,,,,,,,,,,,130.3662606,,,,,,,
Comoros,COM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.413711532,,,,,,,,,,6.106930581,,,,,,,,,,,,,,,10.86692984,,,,,,,
Cabo Verde,CPV,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.920538647,,,,,,,,,,4.154785505,,,,,,,,,,,,,,,4.715697661,,,,,,,
Costa Rica,CRI,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8714676,,,,,,,,,,19.84788874,,,,,,,,,,,,,,,27.00271,,,,,,,
Caribbean small states,CSS,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.732764,,,,,,,,,,530.9566422,,,,,,,,,,,,,,,620.9840449,,,,,,,
Cuba,CUB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.96361301,,,,,,,,,,98.70694686,,,,,,,,,,,,,,,104.9393829,,,,,,,
Curacao,CUW,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.410272441,,,,,,,,,,2.866035816,,,,,,,,,,,,,,,3.714727282,,,,,,,
Cayman Islands,CYM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.240845499,,,,,,,,,,5.327947126,,,,,,,,,,,,,,,10.96993315,,,,,,,
Cyprus,CYP,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15097458,,,,,,,,,,27.39870624,,,,,,,,,,,,,,,30.64216404,,,,,,,
